CommonName,Species,Genus,Family,Order,Subclass
Kilonzo's Brush-furred Rat,Lophuromys_kilonzoi,Lophuromys,Muridae,Rodentia,Theria
Albertine Rift Brush-furred Rat,Lophuromys_laticeps,Lophuromys,Muridae,Rodentia,Theria
Buff-bellied Brush-furred Rat,Lophuromys_luteogaster,Lophuromys,Muridae,Rodentia,Theria
Machangu's Brush-furred Rat,Lophuromys_machangui,Lophuromys,Muridae,Rodentia,Theria
Makundi's Brush-furred Rat,Lophuromys_makundii,Lophuromys,Muridae,Rodentia,Theria
Margaret's Brush-furred Rat,Lophuromys_margarettae,Lophuromys,Muridae,Rodentia,Theria
Western Rift Brush-furred Rat,Lophuromys_medicaudatus,Lophuromys,Muridae,Rodentia,Theria
Black-clawed Brush-furred Rat,Lophuromys_melanonyx,Lophuromys,Muridae,Rodentia,Theria
North Western Rift Brush-furred Rat,Lophuromys_menageshae,Lophuromys,Muridae,Rodentia,Theria
Naked-tailed Brush-furred Rat,Lophuromys_nudicaudus,Lophuromys,Muridae,Rodentia,Theria
Sheko Forest Brush-furred Rat,Lophuromys_pseudosikapusi,Lophuromys,Muridae,Rodentia,Theria
Rahm's Brush-furred Rat,Lophuromys_rahmi,Lophuromys,Muridae,Rodentia,Theria
Congolese Brush-furred Rat,Lophuromys_rita,Lophuromys,Muridae,Rodentia,Theria
Mount Cameroon Brush-furred Rat,Lophuromys_roseveari,Lophuromys,Muridae,Rodentia,Theria
Sabuni's Brush-furred Rat,Lophuromys_sabunii,Lophuromys,Muridae,Rodentia,Theria
Western Brush-furred Rat,Lophuromys_sikapusi,Lophuromys,Muridae,Rodentia,Theria
Simien Brush-furred Rat,Lophuromys_simensis,Lophuromys,Muridae,Rodentia,Theria
Rwenzori Brush-furred Rat,Lophuromys_stanleyi,Lophuromys,Muridae,Rodentia,Theria
Verhagen's Brush-furred Rat,Lophuromys_verhageni,Lophuromys,Muridae,Rodentia,Theria
Woosnam's Brush-furred Rat,Lophuromys_woosnami,Lophuromys,Muridae,Rodentia,Theria
Zena Brush-furred Rat,Lophuromys_zena,Lophuromys,Muridae,Rodentia,Theria
Rudd's Bristle-furred Rat,Uranomys_ruddi,Uranomys,Muridae,Rodentia,Theria
Ammodile,Ammodillus_imbellis,Ammodillus,Muridae,Rodentia,Theria
Pouched Gerbil,Desmodilliscus_braueri,Desmodilliscus,Muridae,Rodentia,Theria
Fat-tailed Jird,Pachyuromys_duprasi,Pachyuromys,Muridae,Rodentia,Theria
Przewalski's Jird,Brachiones_przewalskii,Brachiones,Muridae,Rodentia,Theria
Berbera Gerbil,Gerbillus_acticola,Gerbillus,Muridae,Rodentia,Theria
Agag Gerbil,Gerbillus_agag,Gerbillus,Muridae,Rodentia,Theria
Pleasant Gerbil,Gerbillus_amoenus,Gerbillus,Muridae,Rodentia,Theria
Anderson's Gerbil,Gerbillus_andersoni,Gerbillus,Muridae,Rodentia,Theria
Swarthy Gerbil,Gerbillus_aquilus,Gerbillus,Muridae,Rodentia,Theria
Botta's Gerbil,Gerbillus_bottai,Gerbillus,Muridae,Rodentia,Theria
Brockman's Gerbil,Gerbillus_brockmani,Gerbillus,Muridae,Rodentia,Theria
Burton's Gerbil,Gerbillus_burtoni,Gerbillus,Muridae,Rodentia,Theria
North African Gerbil,Gerbillus_campestris,Gerbillus,Muridae,Rodentia,Theria
Cheesman's Gerbil,Gerbillus_cheesmani,Gerbillus,Muridae,Rodentia,Theria
Wagner's Gerbil,Gerbillus_dasyurus,Gerbillus,Muridae,Rodentia,Theria
Dunn's Gerbil,Gerbillus_dunni,Gerbillus,Muridae,Rodentia,Theria
Black-tufted Gerbil,Gerbillus_famulus,Gerbillus,Muridae,Rodentia,Theria
Flower's Gerbil,Gerbillus_floweri,Gerbillus,Muridae,Rodentia,Theria
Algerian Gerbil,Gerbillus_garamantis,Gerbillus,Muridae,Rodentia,Theria
Lesser Egyptian Gerbil,Gerbillus_gerbillus,Gerbillus,Muridae,Rodentia,Theria
Indian Hairy-footed Gerbil,Gerbillus_gleadowi,Gerbillus,Muridae,Rodentia,Theria
Grobben's Gerbil,Gerbillus_grobbeni,Gerbillus,Muridae,Rodentia,Theria
Harwood's Gerbil,Gerbillus_harwoodi,Gerbillus,Muridae,Rodentia,Theria
Pygmy Gerbil,Gerbillus_henleyi,Gerbillus,Muridae,Rodentia,Theria
Moroccan Gerbil,Gerbillus_hesperinus,Gerbillus,Muridae,Rodentia,Theria
Hoogstraal's Gerbil,Gerbillus_hoogstraali,Gerbillus,Muridae,Rodentia,Theria
James's Gerbil,Gerbillus_jamesi,Gerbillus,Muridae,Rodentia,Theria
Lataste's Gerbil,Gerbillus_latastei,Gerbillus,Muridae,Rodentia,Theria
Lowe's Gerbil,Gerbillus_lowei,Gerbillus,Muridae,Rodentia,Theria
Mackilligin's Gerbil,Gerbillus_mackilligini,Gerbillus,Muridae,Rodentia,Theria
Greater Short-tailed Gerbil,Gerbillus_maghrebi,Gerbillus,Muridae,Rodentia,Theria
Mauritanian Gerbil,Gerbillus_mauritaniae,Gerbillus,Muridae,Rodentia,Theria
Mesopotamian Gerbil,Gerbillus_mesopotamiae,Gerbillus,Muridae,Rodentia,Theria
Darfur Gerbil,Gerbillus_muriculus,Gerbillus,Muridae,Rodentia,Theria
Sudan Gerbil,Gerbillus_nancillus,Gerbillus,Muridae,Rodentia,Theria
Balochistan Gerbil,Gerbillus_nanus,Gerbillus,Muridae,Rodentia,Theria
Nigerian Gerbil,Gerbillus_nigeriae,Gerbillus,Muridae,Rodentia,Theria
Occidental Gerbil,Gerbillus_occiduus,Gerbillus,Muridae,Rodentia,Theria
Large Aden Gerbil,Gerbillus_poecilops,Gerbillus,Muridae,Rodentia,Theria
Principal Gerbil,Gerbillus_principulus,Gerbillus,Muridae,Rodentia,Theria
Rhoads's Gerbil,Gerbillus_pulvinatus,Gerbillus,Muridae,Rodentia,Theria
Least Gerbil,Gerbillus_pusillus,Gerbillus,Muridae,Rodentia,Theria
Greater Egyptian Gerbil,Gerbillus_pyramidum,Gerbillus,Muridae,Rodentia,Theria
Rosalinda Gerbil,Gerbillus_rosalinda,Gerbillus,Muridae,Rodentia,Theria
Rupicolous Gerbil,Gerbillus_rupicola,Gerbillus,Muridae,Rodentia,Theria
Lesser Short-tailed Gerbil,Gerbillus_simoni,Gerbillus,Muridae,Rodentia,Theria
Somalian Gerbil,Gerbillus_somalicus,Gerbillus,Muridae,Rodentia,Theria
Khartoum Gerbil,Gerbillus_stigmonyx,Gerbillus,Muridae,Rodentia,Theria
Sand Gerbil,Gerbillus_syrticus,Gerbillus,Muridae,Rodentia,Theria
Tarabul Gerbil,Gerbillus_tarabuli,Gerbillus,Muridae,Rodentia,Theria
Vivacious Gerbil,Gerbillus_vivax,Gerbillus,Muridae,Rodentia,Theria
Waters's Gerbil,Gerbillus_watersi,Gerbillus,Muridae,Rodentia,Theria
Arabian Jird,Meriones_arimalius,Meriones,Muridae,Rodentia,Theria
Sundevall's Jird,Meriones_crassus,Meriones,Muridae,Rodentia,Theria
Dahl's Jird,Meriones_dahli,Meriones,Muridae,Rodentia,Theria
Moroccan Jird,Meriones_grandis,Meriones,Muridae,Rodentia,Theria
Indian Desert Jird,Meriones_hurrianae,Meriones,Muridae,Rodentia,Theria
Libyan Jird,Meriones_libycus,Meriones,Muridae,Rodentia,Theria
Central Midday Jird,Meriones_meridianus,Meriones,Muridae,Rodentia,Theria
Western Midday Jird,Meriones_penicilliger,Meriones,Muridae,Rodentia,Theria
Persian Jird,Meriones_persicus,Meriones,Muridae,Rodentia,Theria
Eastern Midday Jird,Meriones_psammophilus,Meriones,Muridae,Rodentia,Theria
King Jird,Meriones_rex,Meriones,Muridae,Rodentia,Theria
Buxton's Jird,Meriones_sacramenti,Meriones,Muridae,Rodentia,Theria
Shaw's Jird,Meriones_shawii,Meriones,Muridae,Rodentia,Theria
Tamarisk Jird,Meriones_tamariscinus,Meriones,Muridae,Rodentia,Theria
Tristram's Jird,Meriones_tristrami,Meriones,Muridae,Rodentia,Theria
Mongolian Jird,Meriones_unguiculatus,Meriones,Muridae,Rodentia,Theria
Vinogradov's Jird,Meriones_vinogradovi,Meriones,Muridae,Rodentia,Theria
Zarudny's Jird,Meriones_zarudnyi,Meriones,Muridae,Rodentia,Theria
Somali Pygmy Gerbil,Microdillus_peeli,Microdillus,Muridae,Rodentia,Theria
Fat Sand Rat,Psammomys_obesus,Psammomys,Muridae,Rodentia,Theria
Lesser Sand Rat,Psammomys_vexillaris,Psammomys,Muridae,Rodentia,Theria
Great Gerbil,Rhombomys_opimus,Rhombomys,Muridae,Rodentia,Theria
Bushy-tailed Jird,Sekeetamys_calurus,Sekeetamys,Muridae,Rodentia,Theria
Robbins's Tateril,Taterillus_arenarius,Taterillus,Muridae,Rodentia,Theria
Congo Tateril,Taterillus_congicus,Taterillus,Muridae,Rodentia,Theria
Emin's Tateril,Taterillus_emini,Taterillus,Muridae,Rodentia,Theria
Gracile Tateril,Taterillus_gracilis,Taterillus,Muridae,Rodentia,Theria
Lake Chad Tateril,Taterillus_lacustris,Taterillus,Muridae,Rodentia,Theria
Petter's Tateril,Taterillus_petteri,Taterillus,Muridae,Rodentia,Theria
Senegal Tateril,Taterillus_pygargus,Taterillus,Muridae,Rodentia,Theria
Tranier's Tateril,Taterillus_tranieri,Taterillus,Muridae,Rodentia,Theria
Cape Short-tailed Gerbil,Desmodillus_auricularis,Desmodillus,Muridae,Rodentia,Theria
Cape Gerbil,Gerbilliscus_afer,Gerbilliscus,Muridae,Rodentia,Theria
Boehm's Gerbil,Gerbilliscus_boehmi,Gerbilliscus,Muridae,Rodentia,Theria
Highveld Gerbil,Gerbilliscus_brantsii,Gerbilliscus,Muridae,Rodentia,Theria
Sahelo-Sudanian Gerbil,Gerbilliscus_gambianus,Gerbilliscus,Muridae,Rodentia,Theria
Giffard's Gerbil,Gerbilliscus_giffardi,Gerbilliscus,Muridae,Rodentia,Theria
Guinean Gerbil,Gerbilliscus_guineae,Gerbilliscus,Muridae,Rodentia,Theria
Gorongosa Gerbil,Gerbilliscus_inclusus,Gerbilliscus,Muridae,Rodentia,Theria
Kemp's Gerbil,Gerbilliscus_kempii,Gerbilliscus,Muridae,Rodentia,Theria
Bushveld Gerbil,Gerbilliscus_leucogaster,Gerbilliscus,Muridae,Rodentia,Theria
Black-tailed Gerbil,Gerbilliscus_nigricaudus,Gerbilliscus,Muridae,Rodentia,Theria
Paeba Hairy-footed Gerbil,Gerbilliscus_paeba,Gerbilliscus,Muridae,Rodentia,Theria
Phillips's Gerbil,Gerbilliscus_phillipsi,Gerbilliscus,Muridae,Rodentia,Theria
Fringe-tailed Gerbil,Gerbilliscus_robustus,Gerbilliscus,Muridae,Rodentia,Theria
Setzer's Hairy-footed Gerbil,Gerbilliscus_setzeri,Gerbilliscus,Muridae,Rodentia,Theria
Dune Hairy-footed Gerbil,Gerbilliscus_tytonis,Gerbilliscus,Muridae,Rodentia,Theria
Southern Savanna Gerbil,Gerbilliscus_validus,Gerbilliscus,Muridae,Rodentia,Theria
Brush-tailed Hairy-footed Gerbil,Gerbilliscus_vallinus,Gerbilliscus,Muridae,Rodentia,Theria
East African Gerbil,Gerbilliscus_vicinus,Gerbilliscus,Muridae,Rodentia,Theria
Indian Gerbil,Tatera_indica,Tatera,Muridae,Rodentia,Theria
Büttner's African Forest Mouse,Leimacomys_buettneri,Leimacomys,Muridae,Rodentia,Theria
Maned Rat,Lophiomys_imhausii,Lophiomys,Muridae,Rodentia,Theria
Striped Field Mouse,Apodemus_agrarius,Apodemus,Muridae,Rodentia,Theria
Alpine Field Mouse,Apodemus_alpicola,Apodemus,Muridae,Rodentia,Theria
Small Japanese Field Mouse,Apodemus_argenteus,Apodemus,Muridae,Rodentia,Theria
Chevrier's Field Mouse,Apodemus_chevrieri,Apodemus,Muridae,Rodentia,Theria
South China Field Mouse,Apodemus_draco,Apodemus,Muridae,Rodentia,Theria
Western Broad-toothed Field Mouse,Apodemus_epimelas,Apodemus,Muridae,Rodentia,Theria
Yellow-necked Field Mouse,Apodemus_flavicollis,Apodemus,Muridae,Rodentia,Theria
Nepalese Field Mouse,Apodemus_gurkha,Apodemus,Muridae,Rodentia,Theria
Hyrcanian Field Mouse,Apodemus_hyrcanicus,Apodemus,Muridae,Rodentia,Theria
Yunnan Field Mouse,Apodemus_ilex,Apodemus,Muridae,Rodentia,Theria
Large-eared Field Mouse,Apodemus_latronum,Apodemus,Muridae,Rodentia,Theria
Eastern Broad-toothed Field Mouse,Apodemus_mystacinus,Apodemus,Muridae,Rodentia,Theria
Black Field Mouse,Apodemus_nigrus,Apodemus,Muridae,Rodentia,Theria
Himalayan Field Mouse,Apodemus_pallipes,Apodemus,Muridae,Rodentia,Theria
Korean Field Mouse,Apodemus_peninsulae,Apodemus,Muridae,Rodentia,Theria
Caucasus Field Mouse,Apodemus_ponticus,Apodemus,Muridae,Rodentia,Theria
Kashmir Field Mouse,Apodemus_rusiges,Apodemus,Muridae,Rodentia,Theria
Taiwan Field Mouse,Apodemus_semotus,Apodemus,Muridae,Rodentia,Theria
Large Japanese Field Mouse,Apodemus_speciosus,Apodemus,Muridae,Rodentia,Theria
Long-tailed Field Mouse,Apodemus_sylvaticus,Apodemus,Muridae,Rodentia,Theria
Herb Field Mouse,Apodemus_uralensis,Apodemus,Muridae,Rodentia,Theria
Steppe Field Mouse,Apodemus_witherbyi,Apodemus,Muridae,Rodentia,Theria
Okinawa Island Spiny Rat,Tokudaia_muenninki,Tokudaia,Muridae,Rodentia,Theria
Amami Spiny Rat,Tokudaia_osimensis,Tokudaia,Muridae,Rodentia,Theria
Tokunoshima Spiny Rat,Tokudaia_tokunoshimensis,Tokudaia,Muridae,Rodentia,Theria
Bocage's Rock Rat,Aethomys_bocagei,Aethomys,Muridae,Rodentia,Theria
Red Rock Rat,Aethomys_chrysophilus,Aethomys,Muridae,Rodentia,Theria
Hinde's Rock Rat,Aethomys_hindei,Aethomys,Muridae,Rodentia,Theria
Tete Rock Rat,Aethomys_ineptus,Aethomys,Muridae,Rodentia,Theria
Kaiser's Rock Rat,Aethomys_kaiseri,Aethomys,Muridae,Rodentia,Theria
Nyika Rock Rat,Aethomys_nyikae,Aethomys,Muridae,Rodentia,Theria
Selinda Rock Rat,Aethomys_silindensis,Aethomys,Muridae,Rodentia,Theria
West African Rock Rat,Aethomys_stannarius,Aethomys,Muridae,Rodentia,Theria
Thomas's Rock Rat,Aethomys_thomasi,Aethomys,Muridae,Rodentia,Theria
Abyssinian Grass Rat,Arvicanthis_abyssinicus,Arvicanthis,Muridae,Rodentia,Theria
Sudanian Grass Rat,Arvicanthis_ansorgei,Arvicanthis,Muridae,Rodentia,Theria
Blick's Grass Rat,Arvicanthis_blicki,Arvicanthis,Muridae,Rodentia,Theria
Nairobi Grass Rat,Arvicanthis_nairobae,Arvicanthis,Muridae,Rodentia,Theria
Neumann's Grass Rat,Arvicanthis_neumanni,Arvicanthis,Muridae,Rodentia,Theria
African Grass Rat,Arvicanthis_niloticus,Arvicanthis,Muridae,Rodentia,Theria
Guinean Grass Rat,Arvicanthis_rufinus,Arvicanthis,Muridae,Rodentia,Theria
Glover Allen's Shaggy Rat,Dasymys_alleni,Dasymys,Muridae,Rodentia,Theria
Crawford-Cabral's Shaggy Rat,Dasymys_cabrali,Dasymys,Muridae,Rodentia,Theria
Cape Shaggy Rat,Dasymys_capensis,Dasymys,Muridae,Rodentia,Theria
Fox's Shaggy Rat,Dasymys_foxi,Dasymys,Muridae,Rodentia,Theria
Grayish-brown Shaggy Rat,Dasymys_griseifrons,Dasymys,Muridae,Rodentia,Theria
African Shaggy Rat,Dasymys_incomtus,Dasymys,Muridae,Rodentia,Theria
Mount Cameroon Shaggy Rat,Dasymys_longipilosus,Dasymys,Muridae,Rodentia,Theria
Middle Shaggy Rat,Dasymys_medius,Dasymys,Muridae,Rodentia,Theria
Rwenzori Shaggy Rat,Dasymys_montanus,Dasymys,Muridae,Rodentia,Theria
Angolan Shaggy Rat,Dasymys_nudipes,Dasymys,Muridae,Rodentia,Theria
Roberts's Shaggy Rat,Dasymys_robertsii,Dasymys,Muridae,Rodentia,Theria
West African Shaggy Rat,Dasymys_rufulus,Dasymys,Muridae,Rodentia,Theria
Rwandan Shaggy Rat,Dasymys_rwandae,Dasymys,Muridae,Rodentia,Theria
Tanzanian Shaggy Rat,Dasymys_sua,Dasymys,Muridae,Rodentia,Theria
Common Defua Rat,Dephomys_defua,Dephomys,Muridae,Rodentia,Theria
Ivory Coast Defua Rat,Dephomys_eburneae,Dephomys,Muridae,Rodentia,Theria
Harrington's Rat,Desmomys_harringtoni,Desmomys,Muridae,Rodentia,Theria
Yalden's Rat,Desmomys_yaldeni,Desmomys,Muridae,Rodentia,Theria
Indian Bush Rat,Golunda_ellioti,Golunda,Muridae,Rodentia,Theria
Mozambique Thicket Rat,Grammomys_cometes,Grammomys,Muridae,Rodentia,Theria
South African Thicket Rat,Grammomys_dolichurus,Grammomys,Muridae,Rodentia,Theria
Albertine Rift Thicket Rat,Grammomys_dryas,Grammomys,Muridae,Rodentia,Theria
East African Thicket Rat,Grammomys_ibeanus,Grammomys,Muridae,Rodentia,Theria
Macmillan's Thicket Rat,Grammomys_macmillani,Grammomys,Muridae,Rodentia,Theria
Ethiopian Thicket Rat,Grammomys_polionops,Grammomys,Muridae,Rodentia,Theria
Woodland Thicket Rat,Grammomys_surdaster,Grammomys,Muridae,Rodentia,Theria
Father Basilio's Striped Mouse,Hybomys_basilii,Hybomys,Muridae,Rodentia,Theria
Moon Mountains Striped Mouse,Hybomys_lunaris,Hybomys,Muridae,Rodentia,Theria
Cameroon Highland Striped Mouse,Hybomys_rufocanus,Hybomys,Muridae,Rodentia,Theria
Peters's Striped Mouse,Hybomys_univittatus,Hybomys,Muridae,Rodentia,Theria
Mount Oku Rat,Lamottemys_okuensis,Lamottemys,Muridae,Rodentia,Theria
Barbary Striped Grass Mouse,Lemniscomys_barbarus,Lemniscomys,Muridae,Rodentia,Theria
Griselda Striped Grass Mouse,Lemniscomys_griselda,Lemniscomys,Muridae,Rodentia,Theria
Hoogstraal's Striped Grass Mouse,Lemniscomys_hoogstraali,Lemniscomys,Muridae,Rodentia,Theria
Senegal Striped Grass Mouse,Lemniscomys_linulus,Lemniscomys,Muridae,Rodentia,Theria
Buffoon Striped Grass Mouse,Lemniscomys_macculus,Lemniscomys,Muridae,Rodentia,Theria
Mittendorf's Striped Grass Mouse,Lemniscomys_mittendorfi,Lemniscomys,Muridae,Rodentia,Theria
Single-striped Grass Mouse,Lemniscomys_rosalia,Lemniscomys,Muridae,Rodentia,Theria
Rosevear's Striped Grass Mouse,Lemniscomys_roseveari,Lemniscomys,Muridae,Rodentia,Theria
Typical Striped Grass Mouse,Lemniscomys_striatus,Lemniscomys,Muridae,Rodentia,Theria
Heuglin's Striped Grass Mouse,Lemniscomys_zebra,Lemniscomys,Muridae,Rodentia,Theria
Grant's Rock Rat,Micaelamys_granti,Micaelamys,Muridae,Rodentia,Theria
Namaqua Rock Rat,Micaelamys_namaquensis,Micaelamys,Muridae,Rodentia,Theria
Dybowski's Three-toed Grass Rat,Mylomys_dybowskii,Mylomys,Muridae,Rodentia,Theria
Ethiopian Three-toed Grass Rat,Mylomys_rex,Mylomys,Muridae,Rodentia,Theria
Common Rufous-nosed Rat,Oenomys_hypoxanthus,Oenomys,Muridae,Rodentia,Theria
West African Rufous-nosed Rat,Oenomys_ornatus,Oenomys,Muridae,Rodentia,Theria
Angolan Groove-toothed Swamp Rat,Pelomys_campanae,Pelomys,Muridae,Rodentia,Theria
East African Groove-toothed Swamp Rat,Pelomys_fallax,Pelomys,Muridae,Rodentia,Theria
Hopkins's Groove-toothed Swamp Rat,Pelomys_hopkinsi,Pelomys,Muridae,Rodentia,Theria
Lake Victoria Groove-toothed Swamp Rat,Pelomys_isseli,Pelomys,Muridae,Rodentia,Theria
Least Groove-toothed Swamp Rat,Pelomys_minor,Pelomys,Muridae,Rodentia,Theria
West-central Four-striped Grass Rat,Rhabdomys_bechuanae,Rhabdomys,Muridae,Rodentia,Theria
KwaZulu Natal Four-striped Grass Rat,Rhabdomys_chakae,Rhabdomys,Muridae,Rodentia,Theria
Mesic Four-striped Grass Rat,Rhabdomys_dilectus,Rhabdomys,Muridae,Rodentia,Theria
Karoo Four-striped Grass Rat,Rhabdomys_intermedius,Rhabdomys,Muridae,Rodentia,Theria
Xeric Four-striped Grass Rat,Rhabdomys_pumilio,Rhabdomys,Muridae,Rodentia,Theria
Target Rat,Stochomys_longicaudatus,Stochomys,Muridae,Rodentia,Theria
Loring's Thallomys,Thallomys_loringi,Thallomys,Muridae,Rodentia,Theria
Black-tailed Thallomys,Thallomys_nigricauda,Thallomys,Muridae,Rodentia,Theria
Sundevall's Thallomys,Thallomys_paedulcus,Thallomys,Muridae,Rodentia,Theria
Shortridge's Thallomys,Thallomys_shortridgei,Thallomys,Muridae,Rodentia,Theria
Kemp's Thicket Rat,Thamnomys_kempi,Thamnomys,Muridae,Rodentia,Theria
Eastern Rainforest Thicket Rat,Thamnomys_kuru,Thamnomys,Muridae,Rodentia,Theria
Hatt's Thicket Rat,Thamnomys_major,Thamnomys,Muridae,Rodentia,Theria
Western Rainforest Thicket Rat,Thamnomys_poensis,Thamnomys,Muridae,Rodentia,Theria
Schouteden's Thicket Rat,Thamnomys_schoutedeni,Thamnomys,Muridae,Rodentia,Theria
Thomas's Thicket Rat,Thamnomys_venustus,Thamnomys,Muridae,Rodentia,Theria
Liberian Forest Striped Mouse,Typomys_planifrons,Typomys,Muridae,Rodentia,Theria
West African Striped Mouse,Typomys_trivirgatus,Typomys,Muridae,Rodentia,Theria
Lesser Marmoset Rat,Hapalomys_delacouri,Hapalomys,Muridae,Rodentia,Theria
Greater Marmoset Rat,Hapalomys_longicaudatus,Hapalomys,Muridae,Rodentia,Theria
Suntsov's Marmoset Rat,Hapalomys_suntsovi,Hapalomys,Muridae,Rodentia,Theria
Papuan Highland Brush Mouse,Abeomelomys_sevia,Abeomelomys,Muridae,Rodentia,Theria
Uneven-toothed Rat,Anisomys_imitator,Anisomys,Muridae,Rodentia,Theria
Luzon Cordillera Forest Mouse,Apomys_abrae,Apomys,Muridae,Rodentia,Theria
Aurora Forest Mouse,Apomys_aurorae,Apomys,Muridae,Rodentia,Theria
Banahaw Forest Mouse,Apomys_banahao,Apomys,Muridae,Rodentia,Theria
Browns' Forest Mouse,Apomys_brownorum,Apomys,Muridae,Rodentia,Theria
Camiguin Forest Mouse,Apomys_camiguinensis,Apomys,Muridae,Rodentia,Theria
Northern Luzon Forest Mouse,Apomys_datae,Apomys,Muridae,Rodentia,Theria
Large Mindoro Forest Mouse,Apomys_gracilirostris,Apomys,Muridae,Rodentia,Theria
Mindanao Mossy Forest Mouse,Apomys_hylocoetes,Apomys,Muridae,Rodentia,Theria
Mindanao Montane Forest Mouse,Apomys_insignis,Apomys,Muridae,Rodentia,Theria
Mount Irid Forest Mouse,Apomys_iridensis,Apomys,Muridae,Rodentia,Theria
Mindanao Lowland Forest Mouse,Apomys_littoralis,Apomys,Muridae,Rodentia,Theria
Lubang Forest Mouse,Apomys_lubangensis,Apomys,Muridae,Rodentia,Theria
Large Forest Mouse,Apomys_magnus,Apomys,Muridae,Rodentia,Theria
Small Luzon Forest Mouse,Apomys_microdon,Apomys,Muridae,Rodentia,Theria
Mount Mingan Forest Mouse,Apomys_minganensis,Apomys,Muridae,Rodentia,Theria
Least Philippine Forest Mouse,Apomys_musculus,Apomys,Muridae,Rodentia,Theria
Long-nosed Luzon Forest Mouse,Apomys_sacobianus,Apomys,Muridae,Rodentia,Theria
Sierra Madre Forest Mouse,Apomys_sierrae,Apomys,Muridae,Rodentia,Theria
Zambales Forest Mouse,Apomys_zambalensis,Apomys,Muridae,Rodentia,Theria
Isarog Shrew Mouse,Archboldomys_luzonensis,Archboldomys,Muridae,Rodentia,Theria
Large Cordillera Shrew Mouse,Archboldomys_maximus,Archboldomys,Muridae,Rodentia,Theria
Mountain Water Rat,Baiyankamys_habbema,Baiyankamys,Muridae,Rodentia,Theria
Shaw Mayer's Water Rat,Baiyankamys_shawmayeri,Baiyankamys,Muridae,Rodentia,Theria
White-toothed Mouse,Brassomys_albidens,Brassomys,Muridae,Rodentia,Theria
Palawan Pencil-tailed Tree Mouse,Chiropodomys_calamianensis,Chiropodomys,Muridae,Rodentia,Theria
Indomalayan Pencil-tailed Tree Mouse,Chiropodomys_gliroides,Chiropodomys,Muridae,Rodentia,Theria
Koopman's Pencil-tailed Tree Mouse,Chiropodomys_karlkoopmani,Chiropodomys,Muridae,Rodentia,Theria
Greater Pencil-tailed Tree Mouse,Chiropodomys_major,Chiropodomys,Muridae,Rodentia,Theria
Gray-bellied Pencil-tailed Tree Mouse,Chiropodomys_muroides,Chiropodomys,Muridae,Rodentia,Theria
Lesser Pencil-tailed Tree Mouse,Chiropodomys_pusillus,Chiropodomys,Muridae,Rodentia,Theria
Forbes's Tree Mouse,Chiruromys_forbesi,Chiruromys,Muridae,Rodentia,Theria
Broad-headed Tree Mouse,Chiruromys_lamia,Chiruromys,Muridae,Rodentia,Theria
Lesser Tree Mouse,Chiruromys_vates,Chiruromys,Muridae,Rodentia,Theria
Isarog Striped Shrew Rat,Chrotomys_gonzalesi,Chrotomys,Muridae,Rodentia,Theria
Lowland Striped Shrew Rat,Chrotomys_mindorensis,Chrotomys,Muridae,Rodentia,Theria
Sibuyan Striped Shrew Rat,Chrotomys_sibuyanensis,Chrotomys,Muridae,Rodentia,Theria
Blazed Luzon Striped Shrew Rat,Chrotomys_silaceus,Chrotomys,Muridae,Rodentia,Theria
Montane Striped Shrew Rat,Chrotomys_whiteheadi,Chrotomys,Muridae,Rodentia,Theria
Tawny Brush Mouse,Coccymys_kirrhos,Coccymys,Muridae,Rodentia,Theria
Rümmler's Brush Mouse,Coccymys_ruemmleri,Coccymys,Muridae,Rodentia,Theria
Central Cordillera Brush Mouse,Coccymys_shawmayeri,Coccymys,Muridae,Rodentia,Theria
White-footed Rabbit Rat,Conilurus_albipes,Conilurus,Muridae,Rodentia,Theria
Capricorn Rabbit Rat,Conilurus_capricornensis,Conilurus,Muridae,Rodentia,Theria
Brush-tailed Rabbit Rat,Conilurus_penicillatus,Conilurus,Muridae,Rodentia,Theria
Buehler's Giant Rat,Coryphomys_buehleri,Coryphomys,Muridae,Rodentia,Theria
Musser's Giant Rat,Coryphomys_musseri,Coryphomys,Muridae,Rodentia,Theria
Earless New Guinea Water Rat,Crossomys_moncktoni,Crossomys,Muridae,Rodentia,Theria
Margaret's Ranee Mouse,Haeromys_margarettae,Haeromys,Muridae,Rodentia,Theria
Lowland Sulawesi Ranee Mouse,Haeromys_minahassae,Haeromys,Muridae,Rodentia,Theria
Sundaic Ranee Mouse,Haeromys_pusillus,Haeromys,Muridae,Rodentia,Theria
Common Water Rat,Hydromys_chrysogaster,Hydromys,Muridae,Rodentia,Theria
Husson's Water Rat,Hydromys_hussoni,Hydromys,Muridae,Rodentia,Theria
New Britain Water Rat,Hydromys_neobrittanicus,Hydromys,Muridae,Rodentia,Theria
Ziegler's Water Rat,Hydromys_ziegleri,Hydromys,Muridae,Rodentia,Theria
Western White-eared Giant Rat,Hyomys_dammermani,Hyomys,Muridae,Rodentia,Theria
Eastern White-eared Giant Rat,Hyomys_goliath,Hyomys,Muridae,Rodentia,Theria
Central Short-tailed Mouse,Leggadina_forresti,Leggadina,Muridae,Rodentia,Theria
Northern Short-tailed Mouse,Leggadina_lakedownensis,Leggadina,Muridae,Rodentia,Theria
Lesser Stick-nest Rat,Leporillus_apicalis,Leporillus,Muridae,Rodentia,Theria
